YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-05,WEEKENDS/HOLIDAY,7,TRAIN,NE14,11703,5087
2024-05,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1631,1437
2024-05,WEEKDAY,13,TRAIN,SE3,3824,3072
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,EW30,1089,1582
2024-05,WEEKDAY,20,TRAIN,EW30,6697,1493
2024-05,WEEKDAY,12,TRAIN,NS17/CC15,43243,40743
2024-05,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,26596,20836
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,EW26,14018,14335
2024-05,WEEKDAY,15,TRAIN,EW26,21682,24706
2024-05,WEEKDAY,17,TRAIN,TE13,8986,4340
2024-05,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2125,1764
2024-05,WEEKDAY,9,TRAIN,EW23,56616,53300
2024-05,WEEKENDS/HOLIDAY,9,TRAIN,EW23,22629,18042
2024-05,WEEKDAY,21,TRAIN,DT34,2393,5167
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,DT34,1160,2555
2024-05,WEEKDAY,20,TRAIN,DT5,12525,17596
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4699,7445
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,DT22,5835,6762
2024-05,WEEKDAY,15,TRAIN,DT22,7339,8252
2024-05,WEEKENDS/HOLIDAY,21,TRAIN,CC27,961,320
2024-05,WEEKDAY,21,TRAIN,CC27,5758,1255
2024-05,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1597,1651
2024-05,WEEKDAY,15,TRAIN,SE4,2576,3621
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,PW6,342,867
2024-05,WEEKDAY,19,TRAIN,PW6,1067,3674
2024-05,WEEKDAY,8,TRAIN,NE10,43776,38182
2024-05,WEEKENDS/HOLIDAY,8,TRAIN,NE10,6229,4956
2024-05,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7693,11008
2024-05,WEEKDAY,20,TRAIN,NE13,17479,29706
2024-05,WEEKDAY,19,TRAIN,NS17/CC15,53750,87863
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,18789,21880
2024-05,WEEKDAY,14,TRAIN,TE8,8495,8566
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,TE8,6971,4868
2024-05,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,459,1013
2024-05,WEEKDAY,23,TRAIN,CC17/TE9,772,2395
2024-05,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1946,4372
2024-05,WEEKDAY,10,TRAIN,DT18,5331,27989
2024-05,WEEKENDS/HOLIDAY,19,TRAIN,EW23,21322,26201
2024-05,WEEKDAY,19,TRAIN,EW23,64289,91313
2024-05,WEEKDAY,14,TRAIN,EW15,31030,28875
2024-05,WEEKENDS/HOLIDAY,14,TRAIN,EW15,13752,10268
2024-05,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,11437,5205
